source,metaedge,target,source_name,target_name,kind_of_source,kind_of_target
Disease::DOID:986,Disease - downregulates - Gene,Gene::10893,alopecia areata,MMP24,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::56900,psoriasis,TMEM167B,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::114112,pancreatic cancer,TXNRD3,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::3169,chronic obstructive pulmonary disease,FOXA1,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::91,psoriasis,ACVR1B,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::10079,ulcerative colitis,ATP9A,Disease,Gene
Disease::DOID:3393,Disease - downregulates - Gene,Gene::3038,coronary artery disease,HAS3,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::2870,systemic scleroderma,GRK6,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::23169,IgA glomerulonephritis,SLC35D1,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::29068,breast cancer,ZBTB44,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::1287,kidney cancer,COL4A5,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::6687,malaria,SPG7,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::51322,rheumatoid arthritis,WAC,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::1672,IgA glomerulonephritis,DEFB1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::669,Parkinson's disease,BPGM,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::25793,IgA glomerulonephritis,FBXO7,Disease,Gene
Disease::DOID:10763,Disease - downregulates - Gene,Gene::7919,hypertension,DDX39B,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::79772,hematologic cancer,MCTP1,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::51073,alopecia areata,MRPL4,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::79735,schizophrenia,TBC1D17,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::4733,Alzheimer's disease,DRG1,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::92,acquired immunodeficiency syndrome,ACVR2A,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::6095,IgA glomerulonephritis,RORA,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::7273,idiopathic pulmonary fibrosis,TTN,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::605,hematologic cancer,BCL7A,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::4919,amyotrophic lateral sclerosis,ROR1,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::55324,Alzheimer's disease,ABCF3,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::4249,alopecia areata,MGAT5,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::9639,psoriasis,ARHGEF10,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::9804,acquired immunodeficiency syndrome,TOMM20,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::5649,alcohol dependence,RELN,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::4501,colon cancer,MT1X,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::115196,Crohn's disease,ZNF554,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::84627,psoriatic arthritis,ZNF469,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::9989,lung cancer,PPP4R1,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::53616,hematologic cancer,ADAM22,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::64328,polycystic ovary syndrome,XPO4,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::11168,acquired immunodeficiency syndrome,PSIP1,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::5105,breast cancer,PCK1,Disease,Gene
Disease::DOID:10283,Disease - downregulates - Gene,Gene::5500,prostate cancer,PPP1CB,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::2760,Barrett's esophagus,GM2A,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::55054,Alzheimer's disease,ATG16L1,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::80258,acquired immunodeficiency syndrome,EFHC2,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::56963,alopecia areata,RGMA,Disease,Gene
Disease::DOID:2394,Disease - downregulates - Gene,Gene::11129,ovarian cancer,CLASRP,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::5744,Barrett's esophagus,PTHLH,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::203859,kidney cancer,ANO5,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::148753,azoospermia,FAM163A,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::10128,Crohn's disease,LRPPRC,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::338322,malaria,NLRP10,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::84619,schizophrenia,ZGPAT,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::29953,colon cancer,TRHDE,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::4594,ulcerative colitis,MUT,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::5048,Parkinson's disease,PAFAH1B1,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::4000,IgA glomerulonephritis,LMNA,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::221937,abdominal aortic aneurysm,FOXK1,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::84167,azoospermia,C19orf44,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::3945,breast cancer,LDHB,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::155382,abdominal aortic aneurysm,VPS37D,Disease,Gene
Disease::DOID:10763,Disease - downregulates - Gene,Gene::255324,hypertension,EPGN,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::8720,polycystic ovary syndrome,MBTPS1,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::7436,abdominal aortic aneurysm,VLDLR,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::51386,Crohn's disease,EIF3L,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::283459,pancreatic cancer,GATC,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::1272,psoriatic arthritis,CNTN1,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::85480,polycystic ovary syndrome,TSLP,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::10845,Alzheimer's disease,CLPX,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::723961,chronic obstructive pulmonary disease,INS-IGF2,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::4292,hematologic cancer,MLH1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::22987,Parkinson's disease,SV2C,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::142684,amyotrophic lateral sclerosis,RAB40A,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::55323,polycystic ovary syndrome,LARP6,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::80762,Parkinson's disease,NDFIP1,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::1290,chronic obstructive pulmonary disease,COL5A2,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::10351,breast cancer,ABCA8,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::7673,amyotrophic lateral sclerosis,ZNF222,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::2976,systemic scleroderma,GTF3C2,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::64147,azoospermia,KIF9,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::26301,amyotrophic lateral sclerosis,GBGT1,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::64067,chronic obstructive pulmonary disease,NPAS3,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::83608,amyotrophic lateral sclerosis,C18orf21,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::85236,uterine fibroid,HIST1H2BK,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::25927,breast cancer,CNRIP1,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::57494,hematologic cancer,RIMKLB,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::84066,azoospermia,TEX35,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::200403,azoospermia,VWA3B,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::2806,schizophrenia,GOT2,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::124817,lung cancer,CNTD1,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::51604,uterine fibroid,PIGT,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::9329,systemic scleroderma,GTF3C4,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::5196,hematologic cancer,PF4,Disease,Gene
Disease::DOID:7147,Disease - downregulates - Gene,Gene::142,ankylosing spondylitis,PARP1,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::154043,ulcerative colitis,CNKSR3,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::55832,alcohol dependence,CAND1,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::80127,pancreatic cancer,CCDC176,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::166647,nicotine dependence,ADGRA3,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::56647,Alzheimer's disease,BCCIP,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::340348,malaria,TSPAN33,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::473,rheumatoid arthritis,RERE,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::8576,amyotrophic lateral sclerosis,STK16,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::113230,polycystic ovary syndrome,LOC113230,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::55277,pancreatic cancer,FGGY,Disease,Gene
Disease::DOID:7147,Disease - downregulates - Gene,Gene::23077,ankylosing spondylitis,MYCBP2,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::3991,pancreatic cancer,LIPE,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::29997,Crohn's disease,GLTSCR2,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::1033,Alzheimer's disease,CDKN3,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::347240,polycystic ovary syndrome,KIF24,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::3625,psoriasis,INHBB,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::5197,malaria,PF4V1,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::53904,Barrett's esophagus,MYO3A,Disease,Gene
Disease::DOID:2394,Disease - downregulates - Gene,Gene::79156,ovarian cancer,PLEKHF1,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::9295,acquired immunodeficiency syndrome,SRSF11,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::51134,alcohol dependence,CEP83,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::51232,nicotine dependence,CRIM1,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::5184,IgA glomerulonephritis,PEPD,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::23065,Parkinson's disease,EMC1,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::2317,psoriasis,FLNB,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::11261,kidney cancer,CHP1,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::677,rheumatoid arthritis,ZFP36L1,Disease,Gene
Disease::DOID:10763,Disease - downregulates - Gene,Gene::57117,hypertension,INTS12,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::224,breast cancer,ALDH3A2,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::8187,acquired immunodeficiency syndrome,ZNF239,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::145389,polycystic ovary syndrome,SLC38A6,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::23095,breast cancer,KIF1B,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::10480,systemic scleroderma,EIF3M,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::1879,breast cancer,EBF1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::23608,Parkinson's disease,MKRN1,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::1553,chronic obstructive pulmonary disease,CYP2A13,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::1981,rheumatoid arthritis,EIF4G1,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::22865,amyotrophic lateral sclerosis,SLITRK3,Disease,Gene
Disease::DOID:2394,Disease - downregulates - Gene,Gene::25913,ovarian cancer,POT1,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::9718,Alzheimer's disease,ECE2,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::728661,systemic scleroderma,SLC35E2B,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::11193,alopecia areata,WBP4,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::56650,idiopathic pulmonary fibrosis,CLDND1,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::401474,ulcerative colitis,SAMD12,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::79762,kidney cancer,C1orf115,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::80273,psoriatic arthritis,GRPEL1,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::2770,melanoma,GNAI1,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::6688,Barrett's esophagus,SPI1,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::79844,uterine fibroid,ZDHHC11,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::9696,amyotrophic lateral sclerosis,CROCC,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::23788,alcohol dependence,MTCH2,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::60673,IgA glomerulonephritis,ATG101,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::10539,polycystic ovary syndrome,GLRX3,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::10299,psoriasis,MARCH6,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::128861,polycystic ovary syndrome,BPIFA3,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::1056,polycystic ovary syndrome,CEL,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::54841,abdominal aortic aneurysm,BIVM,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::25764,idiopathic pulmonary fibrosis,HYPK,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::8814,Alzheimer's disease,CDKL1,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::5375,IgA glomerulonephritis,PMP2,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::84079,Crohn's disease,ANKRD27,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::651746,polycystic ovary syndrome,ANKRD33B,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::257236,azoospermia,CCDC96,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::1387,malaria,CREBBP,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::122402,amyotrophic lateral sclerosis,TDRD9,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::55502,amyotrophic lateral sclerosis,HES6,Disease,Gene
Disease::DOID:824,Disease - downregulates - Gene,Gene::219988,periodontitis,PATL1,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::23177,acquired immunodeficiency syndrome,CEP68,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::79411,uterine fibroid,GLB1L,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::84514,amyotrophic lateral sclerosis,GHDC,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::8642,acquired immunodeficiency syndrome,DCHS1,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::23461,ulcerative colitis,ABCA5,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::60487,abdominal aortic aneurysm,TRMT11,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::3300,amyotrophic lateral sclerosis,DNAJB2,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::22837,idiopathic pulmonary fibrosis,COBLL1,Disease,Gene
Disease::DOID:9970,Disease - downregulates - Gene,Gene::23327,obesity,NEDD4L,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::23220,Alzheimer's disease,DTX4,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::10746,psoriatic arthritis,MAP3K2,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::119180,polycystic ovary syndrome,LYZL2,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::114876,rheumatoid arthritis,OSBPL1A,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::27243,colon cancer,CHMP2A,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::10398,IgA glomerulonephritis,MYL9,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::9015,uterine fibroid,TAF1A,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::760,alcohol dependence,CA2,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::23163,uterine fibroid,GGA3,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::55328,uterine fibroid,RNLS,Disease,Gene
Disease::DOID:2377,Disease - downregulates - Gene,Gene::50809,multiple sclerosis,HP1BP3,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::7102,ulcerative colitis,TSPAN7,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::27109,kidney cancer,ATP5S,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::9774,rheumatoid arthritis,BCLAF1,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::2690,breast cancer,GHR,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::6278,melanoma,S100A7,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::168391,azoospermia,GALNTL5,Disease,Gene
Disease::DOID:10283,Disease - downregulates - Gene,Gene::6613,prostate cancer,SUMO2,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::28969,alopecia areata,BZW2,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::624,IgA glomerulonephritis,BDKRB2,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::55422,chronic obstructive pulmonary disease,ZNF331,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::9467,Parkinson's disease,SH3BP5,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::267002,polycystic ovary syndrome,PGBD2,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::90736,Crohn's disease,FAM104B,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::29923,nicotine dependence,HILPDA,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::11130,alopecia areata,ZWINT,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::1160,kidney cancer,CKMT2,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::4089,acquired immunodeficiency syndrome,SMAD4,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::94160,azoospermia,ABCC12,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::8581,melanoma,LY6D,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::9737,nicotine dependence,GPRASP1,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::7915,kidney cancer,ALDH5A1,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::84899,schizophrenia,TMTC4,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::8260,schizophrenia,NAA10,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::8099,chronic obstructive pulmonary disease,CDK2AP1,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::84954,amyotrophic lateral sclerosis,MPND,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::23180,hematologic cancer,RFTN1,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::27161,psoriatic arthritis,AGO2,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::54344,systemic scleroderma,DPM3,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::92291,ulcerative colitis,CAPN13,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::79068,chronic obstructive pulmonary disease,FTO,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::57118,melanoma,CAMK1D,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::23460,kidney cancer,ABCA6,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::161291,chronic obstructive pulmonary disease,TMEM30B,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::9185,psoriatic arthritis,REPS2,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::213,kidney cancer,ALB,Disease,Gene
Disease::DOID:9744,Disease - downregulates - Gene,Gene::84919,type 1 diabetes mellitus,PPP1R15B,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::57182,psoriasis,ANKRD50,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::134860,malaria,TAAR9,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::1767,nicotine dependence,DNAH5,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::1933,Crohn's disease,EEF1B2,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::127602,schizophrenia,DNAH14,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::155066,Alzheimer's disease,ATP6V0E2,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::7376,IgA glomerulonephritis,NR1H2,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::57600,ulcerative colitis,FNIP2,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::51090,idiopathic pulmonary fibrosis,PLLP,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::3949,psoriatic arthritis,LDLR,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::23281,abdominal aortic aneurysm,MTUS2,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::144577,amyotrophic lateral sclerosis,C12orf66,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::1856,schizophrenia,DVL2,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::11014,psoriatic arthritis,KDELR2,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::57179,nicotine dependence,KIAA1191,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::2543,pancreatic cancer,GAGE1,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::80020,rheumatoid arthritis,FOXRED2,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::3925,hematologic cancer,STMN1,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::1272,Alzheimer's disease,CNTN1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::54884,Parkinson's disease,RETSAT,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::55323,breast cancer,LARP6,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::23155,Alzheimer's disease,CLCC1,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::84693,chronic obstructive pulmonary disease,MCEE,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::64116,pancreatic cancer,SLC39A8,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::8876,lung cancer,VNN1,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::11212,Crohn's disease,PROSC,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::10875,abdominal aortic aneurysm,FGL2,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::10089,alopecia areata,KCNK7,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::54845,melanoma,ESRP1,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::23328,rheumatoid arthritis,SASH1,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::253738,breast cancer,EBF3,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::100288142,rheumatoid arthritis,NBPF20,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::57563,nicotine dependence,KLHL8,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::1848,breast cancer,DUSP6,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::1953,malaria,MEGF6,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::607,acquired immunodeficiency syndrome,BCL9,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::80301,psoriatic arthritis,PLEKHO2,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::65084,rheumatoid arthritis,TMEM135,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::200081,amyotrophic lateral sclerosis,TXLNA,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::930,hematologic cancer,CD19,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::539,colon cancer,ATP5O,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::7704,psoriatic arthritis,ZBTB16,Disease,Gene
